comment,sentiment
great disappointment,negative
cannot believe actors agreed film,negative
could stand even watch long fear losing iq,negative
guess nobody network aired dribble watched putting,negative
imdb ratings go low 1 awful time get negative numbers cases,negative
saw mirrormask last night unsatisfactory experience,negative
unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,negative
central themes film handled ineptly stereotypically depth imagination,negative
pretty pictures world cannot make piece work flawed core,negative
hour half waste time following bunch pretty high schoolers whine cry life,negative
cant relate hell barely understand,negative
definitely cult classic well worth viewing sharing others,positive
movie pure disaster story stupid editing worst seen confuses incredibly,negative
fish badly made underwater shots repeated thousand times film,negative
truly truly bad film,negative
acting terrible writing worse,negative
possible way movie could redeemed would mst3k fodder,negative
paid much,negative
also real treat see anthony quinn playing crazy horse,positive
boring,negative
plot whatsoever,negative
plot,negative
horrible,negative
worst hour half lifeoh gosh,negative
walk theatre minutes get relief,negative
hate movies like,negative
yeah movie pretty much sucked,negative
plot storyline,negative
go see movie bring pillow girlfriendboyfriend keep occupied,negative
awful,negative
dont think ive ever gone movie disliked much,negative
good thing tickets cost five dollars would mad id paid 750 see crap,negative
nobody identifies characters theyre cardboard cutouts stereotypes predictably reversestereotypes,negative
bad film bad writing good actorsan ugly cartoon crafted paul haggis people cant handle anything bold strokes storytellinga picture painted crayons,negative
crash depressing little nothing provokes emotion teaches nothing already know racism prejudice bad things,negative
still like movie empowerment women theres enough movies like one,positive
brain attempt shutdown part primal impulse selfpreservation,negative
left shattered experience watching film took good two hours fully recover,negative
movie joins revenge boogeyman zombiez part hellish trinity horror films,negative
certainly mean distinction good way,negative
mean terrible way,negative
film redeeming features,negative
everything appalling,negative
artless camerawork endlessly presents us ugliest setting imaginable ie,negative
story beyond stupid,negative
script script,negative
kids annoying,negative
lead man charismafree,negative
utterly without merit level akin torture,negative
ill even say  torture,negative
maybe would reasonable explanation atrocity,negative
pleasant voyage selfdiscovery,negative
highly unrecommended,negative
premise sound stupid thats,negative
yes bad,negative
nothing recommend,negative
excellent performance ms,positive
garbo showed right bat talents could carry silent era wanted see silent work netflix doesnt seem stocking,positive
also great see renowned silent screenwriter frances marion hasnt missed step going silent sound,positive
movie suffered writing needed suspense,negative
many close ups,negative
movie seemed drag heroes didnt really work freedom,negative
movie definitely average rent,negative
youll love 1 movie bad 0 bad 0 film way long 0 definitely one bad ones 0 movie received great quality film age 1 john wayne incredible job young movie industry 1 screen presence shined thought even though senior actors screen 1 think must see older john wayne film 1 really dont see anyone could enjoy movie 0 dont think ive ever seen movie half boring selfindulgent piece junk 0 probably would better director hadnt spent movie showcasing art work really isnt noteworthy 0 another thing didnt really like character got punched face gallon blood would spew forth soon 0 jamie foxx absolutely ray charles 1 performance simply genius 1 owns film spacek owned coal miners daughter quaid owned great balls fire,positive
fact hard remember part ray charles acted played man 1 ray charles legendary 1 ray charles life provided excellent biographical material film goes well beyond another movie musician 1 hitchcock great director 1 ironically mostly find films total waste time watch 0 secondly hitchcock pretty much perfected thriller chase movie 1 pandering audience sabotages films 0 hence whole story lacks certain energy 0 plot simply rumbles like machine desperately depending addition new scenes 0 usual hitchcock logic flaws 0 mishima extremely uninteresting 0 chilly unremarkable movie author livingworking chilly abstruse culture 0 flat reenactments dont hold attention emotionally adrift stagy 0 rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc 0 bore pieces kill momentum movie quicker anyone else 0 schrader made resume full lousy amateurish films 0 first watched movie 80s loved 1 totally fascinated music dancing everything 1 however recently watched whole thing dvd completely struck extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing 0 mean realistic world would never gotten ballet repertory whole thing quite pathetic 0 character developments also lacked depth 0 woa talk awful 0 waste time 0 horrible 0 worst sappiest dialogue could go 0 really made unwatchable direction 0 poor actors 0 cant even tell talent pathetic lines speak director gave action 0 check directors filmography site see film didnt chance 0 would even good made tv flick 0 good intentions made film great film might one greatest films ever made 1 film great actors master director significant themeat least wouldbe significant theme undertone fifties existential worldweariness aerial scenes ought thrilled senses imagination characters one might deeply care 1 regrettably film fails 0 movie lacks visual interest drama expression feeling celebration patriotism underlines narrative 0 actress worse used june allison movie 0 yet enjoy watching 1 unfortunately bad movie plain bad 0 bad script bad direction horrible acting make one plain bad 0 dialogue sucked 0 cinematographyif called thatsucked 0 soundtrack sucked 0 acting sucked 0 concert sequences sucked 0 nice 1 funny 1 funny 1 overall movie cheap trash 0 movie funny considering ridiculousness 0 came feeling angry 0 spoilers whatever else cant said surface superbly crafted 1 cinematography simply stunning say least fx nothing stateoftheart 1 conceptually show offers little bit everything everybody parents kids fantasy andor fx fans 1 wasnt single sour note struck actingwise either surprisingly solid casting 1 things considered job well done 1 thanks good movie like done released 1 one best mexican movies ever one less understood even mexican matter identified felt 1 ranks highly great noircrimedrama incredible performances belmondo lino ventura 1 attention given every character complex psychological portrayals detailing loyalty treachery love hope tremendous 1 excellent drama excellent thriller excellent film 1 best melville 1 everything film simply incredible 1 truly take journey eyes soul child 1 black water thriller manages completely transcend limitations indie flick continually subverting expectations emerge intense experience 1 performances real gripping crocdodile extremely well done indeed black water website believed thats used real crocs swamp location fabulous 1 thoroughly enjoyed christopher eccleston took control tardis continuation series 1 im sure trying film 0 turn good day feeling night disturbing memories guess succeeded 0 lot beautiful places 1 forced like everything movie 0 lame 0 heres movie really pied 0 dont even get started jerky camerawork 0 saw theater thought going sick 0 summary witticisms werent witty 0 plot well said id let one go 0 acting bad 0 really bad 0 even billy bob couldnt rise script worse 0 camerawork bad 0 rating 1 10 0 amazing finale possibly best trilogy time 1 kieslowski never ceases amaze 1 one favourite directors one talented directors history cinema 1 use colours french flag three films nothing short incredible every shot every scene like work art 1 three visually appealing movies ive ever seen 1 subtle connections three films awesome 1 mention huge spoiler loved ending characters three films remaining survivors ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many years 1 couldnt think better way end film smile face great way wrap amazing film trilogy 1 recommend everyone loves film movies anythinga work art 1 10 10 movie trilogy 1 literally vomited watching film 0 think one people found another one roths pearls 1 performance awarded stunning 1 story told eloquently francis ford coppola 25 years earlier really unfolds gradually leaves room characters develop 1 wonderful location lies story contrast 1 beautiful directed film nicolas roeg wih sublime cast 1 im translating movies living first movie 5year working experience found offensive intelligence 0 someone strives greatness poetry delivers muddled often ridiculous story bunch disparate scenes pretentious dialogue get worst kind movie reviewer accurately defined pretentious crap,negative
find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense things,negative
one thing tolerate political incorrectness well im artistic freedom suspension disbelief slavic female character much,negative
fun funny movie,positive
highly entertaining angles,positive
features outlandish array memorable psychotic lovable nuts,positive
enjoyment get see run around play games dangerous,positive
even sweet moments,positive
telephone repair man really funny reactions nuts bitchy boss truly genuine,positive
characters film tremendously well played,positive
really find funny,positive
actually smart movie,positive
brilliant twist ending,positive
love 1 ending perfect youll shed tear 1 thrilled seeing movie like 1 never forget 1 cult cult classic 1 depth character man underneath 0 malta settings dry barren dialogue 0 movie terrible 0 hockey scenes terrible defensemen playing like theyre 5 years old goalies diving shots 10 feet wide net etc 0 havent seen dont waste time 0 call movie drama ridiculous 0 started watching didnt believe characters 0 particular relationship bakery assistant waitress didnt work 0 superficial movie gave feeling watching play rather film 0 characters stagey storyline lot like stage farce 0 time pyromaniac waylaid assistant bored didnt care happened next switched 0 glad didnt pay see 0 didnt laugh even smile 0 wasnt anything one big yawn 0 really good show watch 1 educational children 1 8 years old 1 barney definitely super de duper 1 pretty funny 1 babie bop cute 1 kids cool 1 storm trooper even bad enough make list wonderfully terrible movies,negative
lame,negative
guy said hes better dialogue potted plants right,negative
everything movie stupid,negative
even love bad movies watch movie,negative
shameful,negative
would give television series 10 plus could,positive
writers smack think best actors actresses bonus showthese characters real,positive
must say taped episodes find watching,positive
know gave 10,positive
dont know exactly movie latched endearing movie become special part familys memories,positive
totally absolutely recommend movie anyone likes good wholesome family movies exactly,positive
things four kids get absolutely hilarious watch,positive
one best movies shows strong sibling bond,positive
much interesting action suspense less unneeded controversy,positive
everything acting cinematography solid,positive
definitely worth checking,positive
damian talented versatile many ways writing portraying different characters screen,positive
movie cutting edge,positive
pleased know modern day genius letting passion art drive taking us audience,positive
new characters werent memorable found forgetting,negative
felt though going ireland absolutely nothing whatsoever,negative
didnt make scared horrified make sympathetic towards characters simply annoying,negative
jerky camera movements also annoying,negative
plot pretty much every cheap horror,negative
pathetic attempts give characters depth didnt really work rest plot,negative
guess supposed clever twist shed light situation stupid,negative
see probably leave shelf,negative
elias koteasjack palance play good roles angelina hot gets nakedbilly drago appears cool usual cameo sven ole thorsen helps make enjoyable movie good acting decent budget,positive
awesome movie bought ebay,positive
really loved story line poler bear kinda cutebut anyone question fort steele ask away,positive
totally unfunny movie top pathetic unrealistic throughout whole 90 minutes utter torture probably looked watch 70000 times,negative
lucy bell much higher crap sink low quite depressing,negative
movie make sick watching slackers make excuses stupid actions 90 minutes,negative
god never get 90 minutes back,negative
think wonderful parts literally full wonder excerpts works,positive
sets especially designed work camera amazingstylized beautiful effective,positive
could used exemplars set designer,positive
stories powerful explorations nature man art,positive
watching film wanted learn works artist,positive
highly recommend movie anyone interested art poetry theater politics japanese history,positive
wind lion see wonderful rendering americas imperial age,positive
makes story different terrific production values faultless photography composition editing terrific casting underappreciated brian keith playing bully teddy vivid history,positive
though wind lion told largely eyes son every member family identify one characters whether sean connerys noble brigand candace bergens feisty heroine john hustons wily john hay steve kanalys spiffy radiant ruthless cando lieutenant roosevelts big stick,positive
high adventure best,positive
think robert ryans best film portrayed someone like father schizophrenic real lifemy father although never murdered anyone affected second world war made worse,positive
humour get get day apt,positive
mother brother thiswhen saw robert ryan portraying type man good imitation type individual impressed,positive
almost songs cover girl oldfashioned tuneful,negative
annoying thing cover girl way rita hayworth put pedestal,negative
unfortunately cover girl example hollywood used exploit women financial gain,negative
nonlinear narration thus many flashbacks every part articulated quite well,positive
good cinematography also makes monica bellucci look beautiful,positive
good commentary todays love undoubtedly film worth seeing,positive
people first timers film making think excellent job,positive
popular cinema good house good reactions plenty laughs,positive
feelgood film thats felt came cinema,positive
northern humour positive community represents,positive
rather enjoyed,positive
liked,positive
couldnt take seriously,negative
really created unique feeling though,positive
vivian schilling excellent job script,positive
world better 95 garbage theatres today,positive
role played well,positive
screamy masculine right,positive
camera really likes movie,positive
would casted role ready script,positive
european movie nice throwback time student 1980s experiences living abroad interacting nationalities although circumstances slightly different,positive
fan movie sucked really bad,negative
even worse ticker,negative
movie bad,negative
like 3 4 buildings used couple locations maybe poor hummh,negative
blew,negative
movie excellentangel beautiful scamp adorablehis little yelps hes scaredand funniest parts whenscamp caught curtain angel scamp singing ive never feeling beforei totally recommend movieits coming special edition june 20the cover scamp garbage angel underneath lid,positive
cant explain movie romanticcharminghilariousand adorablethe junkyard scenes funnyall junkyard dogs something specialtoo funny laughedkids love itbuy comes outit new features,positive
chosen tortured disgusting piece blatant american propaganda,negative
show made americans stupid full hatred clichés admitted elsewhere,negative
almost everyone involved must return school acting utterly predictable bad script pile garbage round,negative
wish could enter negative values admins,negative
sets bad wouldnt look place thunderbirds episode,negative
use slowmotion needlessly repeats throughout movie well backed bad acting bad kind word continuity scenes thrown reason whatsoever vehicles looked like made corn flakes box directorial style bordered stupidity,negative
oh yeah storyline pathetic,negative
hate writing bad reviews films especially really like star film bad dont believe one second anyone could proud,negative
filmmaker director would hide head sand id spent whatever amount money time movie,negative
short monumental waste time energy would recommend anyone ever see film,negative
came free dvd player bought still turned thing halfway embarrassed howell,negative
110 setting 010,negative
interesting premise billy drago always good dangerous nutbag side note id love see drago stephen mchattie lance hendrikson flick together talk raging cheekbones,positive
soundtrack wasnt terrible either,positive
actingeven professionals drago debbie rochonwas terrible directing worse perhaps contributory former dialog chimplike camera work barely tolerable,negative
still sets got big 10 oyvey scale,positive
yes simplifying things sake brevity really core problems film much going without real fulfilling explanation,negative
good jobs quite amusing,positive
convoluted plot didnt convince much film watched weird questioning glance,negative
let girlfriend talk seeing bad idea hated,negative
last 15 minutes movie also bad well,positive
bela lugosi totally extraneous intoning odd lines,negative
acting decidely wooden though worse period universal b movie,negative
like armand assante cable companys summary sounded interesting watched twice already probably,positive
believe screenwriter good job tying loose ends,positive
810 score mostly plot,positive
wont say dont like spoilers dont want one believe film worth time,positive
wow bad film,negative
frightening least barely comprehensible,negative
plot doesnt hang together acting absolutely appalling,negative
even good camp value,negative
wasnt expecting oscar material,negative
youd iq particularly stupid mollusk see one coming,negative
film use word loosely insult moviegoing public,negative
someone involved knew string together narrative,negative
gets 1 10 simply theres nothing lower,negative
one watched recently fox movie channel disappointed,negative
know contract player little control scripts acting bad script,negative
victor mclaglen even bad brian donlevy almost unrecognizable,negative
considering relations screen taylor stanwyck surprising little chemistry screen two,negative
premise film ridiculous president us,negative
death row scenes entirely unmoving,negative
thing worse taylors acting stanwycks singing,negative
whatever producer going missed entirely,negative
deeply impressed character played,positive
knew saw film great things come gifted actor,positive
cheap cheerless heist movie poor characterisation lots underbite style stoic emoting think chow yun fat better tomorrow cheesy clichés thrown abandoned factory ready poorly executed flying judo rolls la john woo,negative
even squibs look awful,negative
point proceedings look remotely like america,negative
plot derivative predictable ending like mercy killing,negative
awful dialogue hopeless overacting everyone gets shot top real waste space time,negative
uneasy bad movie scared,negative
dialogue composed things make little sense,negative
30 minutes footage wasted show mediocre elderly actors awkwardly babbling overwrought pseudosatanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may made words,negative
directing sloppy best,negative
hackneyed writing certainly made even worse bad directing,negative
course acting blah,negative
acting whole cast could put scale balanced perfectly overacting underacting,negative
finally get ending wouldve great handled competent people jerry falwell,negative
loved movie great portrayal family share ups end knew special love,positive
seen many movies starring jaclyn smith god one best though came 12 years ago,positive
movie contained allstar cast loved opened eyes see actors havent seen,positive
movie kind long length enjoyed every minute,positive
overall rate movie 10 110 scale,positive
lifetime air enough anyone knows store sells let know musthave,positive
particularly remember senses assaulted strident cords music would blare little warning even less meaning,negative
sort pap screened afternoon punish unemployed jobs,negative
totally different loads understatement black comedy film get see remember,positive
movie creates universe fascinating every way,positive
movie really got,positive
see,positive
really hope team behind movie makes movies continue kinda weird style,positive
forgot casting superb trond fausa aurvåg perfect role bothersome man doesnt understand,positive
movie good humorous comment life 2006,positive
found move beautiful enjoyable uplifting,positive
initially local sites film filmed buffalo intrigued,positive
later found lost power film,positive
entire audience applauded conclusion film,positive
left theater lilt step joy heart hope human race,positive
duris wholesome appearance gives fine performance,positive
rest cast also play well,positive
cinematography noteworthy including fine views barcelona famed gaudi towers,positive
ten minutes film started second thoughts,negative
half way film started dislike,negative
time film ended disliked despised,negative
film lacks convincing script,negative
script looks rough draft written shooting began finished script completed,negative
things happen characters personalities change plot twists occur real reason script calls,negative
cast good,positive
worth checking,positive
probably irritating show ever seen entire life,negative
indescribably annoying idiotic show ever seen,negative
everything bad,negative
could understand kind idiot would produce mess first place mention several season,negative
script bad bad  contains cheesiness unethical joke normally see rated r nc17 movie,negative
casting also horrible cause see really really bad actors period,negative
final word show real torture,negative
zillion times away reality,negative
watching washing machine twirling around wouldnt hurt eyes much show,negative
rating 010 grade z note show bad even mother cast pull daughter show,negative
20th century foxs road house 1948 quite silly noir implausible unmitigated bore movie,negative
full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal,negative
widmark character turns unintentionally comical,negative
losing marbles early proceedings totally implausible unconvincing,negative
isnt enough mess movie picture also marred constant use studio sets indoor exteriors,negative
whatever prompted documentary beyond,negative
serious spoilers movie huge disappointment,negative
many problems dont know start,negative
cast great,positive
steve martin delivers really funny performance middleaged upper class uptight white guy,positive
add betty white jean smart great cast everyone played parts really well,positive
movie makes lot serious mistakes,negative
first enough racial stereotypes racial jokes offend everyone,negative
movie littered overt racial slurs towards black cast members return whites depicted morons boobs,negative
putting race card aside lets look major flaw film destroy latifas character,negative
real plot,negative
wouldnt see movie free,negative
steamboat willie amazingly important film cinema history,positive
second appearance mickey mouse following silent plane crazy earlier year probably famous filmmostly groundbreaking,positive
dont yet hear mickey speak tons sound effects music throughout filmsomething take granted huge crowd pleaser 1928,positive
however seeing short 25 years amazed timeless film actually,positive
adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way,positive
clever real crowdpleaserthis film still ranks among mickeys best films even 80 wonderful years,positive
bipolarity ruthless thug one minute ruthless killer next minute luvs diaper commercial completely unconvincing,negative
im terribly disappointed film would receive many awards accolades especially far deserving works film,negative
original body soul 1947 masterpiece,positive
john garfield ann revere lilli plmer william conrad canada leeand filmed one greatest cinematographers ever grace screenjames wong howe,positive
dont think redeeming qualities remake,negative
may bad film ever made,negative
badwellits bad,negative
movie solid example bad plot bad idea way,negative
shame see good actors like thomerson james make living mess like,negative
thought bad,negative
films terrible credit 1986 version watchable,negative
lets start problemsthe acting especially lead professor bad,negative
script big flawed mess,negative
best example dumb writing established turn zombiestudents back humans removing necklace containing piece meteorite,negative
director paul matthews also wrotedirected weak 1995 monster movie grim clearly doesnt know pace films,negative
movie terribly boring places,negative
lighting awful,negative
film looks cheap bland,negative
one disappointing aspects lack notable gore,negative
convention never worked well past certainly doesnt work,negative
visual effects awful,negative
cg opening sequence space looked like could created microsoft slideshow gods sake,negative
explosion gas tanks end awful,negative
okay like consider fair critic ill give credit credits duethe creature effects actually pretty cool,positive
gotta love closeups slimy drooling teeth,positive
sum film breeders terrible cheaply made horror movie avoided like ebola virus,negative
recommended,negative
almost unbearable watch screen little charisma terrible comedic timing,negative
aside terrible lead film loads debits,negative
understand supposed cheap popcorn comedy doesnt mean completely insult intelligence writing incredibly hackneyed borders offensive,negative
lewis blacks considerable talent wasted incendiary unrestrained pg13 rating certainly wont allow,negative
films sole bright spot jonah hill look almost unrecognizable fans recent superbad due amount weight lost interim,positive
originality freshness first movie spent remake little else offer,negative
budget evidently limited,negative
reflected cast also belowpar script borrowed much earlier classic,negative
however decent acting action location work balance things,negative
filmiing less expansive,negative
failed convey broad sweep landscapes great part original,negative
generally lacked imagination,negative
recommended,negative
possible movie get worse,negative
plot keep going first place,negative
even women finally show sign improvement expected things happen time film might far asleep,negative
beware trashy cult movie trash period,negative
cant believe theres even sequel,negative
precisely giving bad review,negative
90s child truly enjoyed show proudly say enjoyed big time even classical wb cartoons,positive
tiny toons kept 90s vibe delivered one popular funny underrated cartoons ever created,positive
memories murky say enjoyed every single episode product related show,positive
easily none cartoon made laugh tender way getting dark sitcoms oriented teenagers,positive
characters funny peculiarity true lead character,positive
every single character hilarious deserved called lead,positive
every element story top excessively phony contrived painful sit,negative
lines seem written fifteen year old though trying oh hard sound like fifteen year old would really um know well talk,negative
perabo nice energy level obviously comfortable front camera,positive
simply excuse something poorly done,negative
saw movie thought stupid movie,negative
even stupid thought idea volcano los angeles,negative
honest unbelievable nonsense foolish,negative
conclusion bother movie volcano los angeles nothing nonsense,negative
story line awful,negative
painful,negative
accents absolutely abysmal,negative
theres also enough hypocrisy film make vomit,negative
dont waste time watching rubbish nonresearched film,negative
believe pitch black done well,positive
characters interesting want find longer movie goes think people surprised doesnt make,positive
go watch,positive
omit watching,negative
funny,positive
rating 3 10,negative
characters interesting really care,positive
instant classic great soundtrack catchy song ending credits,positive
dont miss,positive
masterful piece filmmaking many themes simmering occasionally boiling warts study poets bohemian selfindulgent wartime years span aerial bombardments london outward tranquillity welsh coastal retreat borderlines friendship lust love dedication art experience versus practical concerns jealousy rivalry cowardice egotism versus heroism selfsacrifice,positive
mature subtle script suggests occasionally brings dramatic focus underlying tensions well served perfect performances apart odd inappropriate smiling keira knightley prone though perhaps direction time characters often mention,positive
exquisite visual composition moment inventive elegant use closeup camera angle lighting including pointillistic faux home movie footage wonder joy behold,positive
continuously beautiful look bertolucci relationships convincing narrative engaging masters work,positive
basic premise wasted since sidelined inexplicable focus documentary crew,negative
regardless film fails levels,negative
avoid costs,negative
saw film christmas great film,positive
thought errol flynn brilliant custer since become favourite actor,positive
acting alongside olivia de havilland brilliant ending fantastic,positive
always known errol flynn brilliant actor dads favourite actor grew watching films child,positive
wasnt watched film realised great actually,positive
ill give film 10 10,positive
know jim oconnor energetic nobody could much george well dull,negative
really didnt seem want hosting voiceovers monotonous didnt get involved guests,negative
lovely little thriller hitchcock lots nice shenanigans surrounding murdered spy kidnapped child nasty church foreign plot random taxidermists,positive
jimmy stewart ever great hero hitchcock story rips along cool climax embassy function lacks brooding menace hitchcocks black white lowbudget original,positive
nevertheless yet another wonderful film great masters stable,positive
say film excellently produced tops ratings typical sci fi film,positive
excellently produced one scifis best producers scot vandiver,positive
entertaining nonetheless,positive
campy sort film thats joy watch,positive
theres barely boring moment film plenty humorous parts,positive
cast always entertaining usual,positive
overall delight,positive
movie mindbendingly awful couldnt even created,negative
film lacks real scares tension medical terminology used throughout bit iffy say least say insulin dependant diabetic,negative
least said acting better,negative
movie excellent job revealing complexity task incredible challenges facing south africa,positive
believe every one see movie think people outside south africa understand past attempted truth reconciliation process,positive
nothing short magnificent photographycinematography film,positive
acting fantastic stories seamlessly woven together dogs splendid must rent view see,positive
dont afraid subtitles worth little aversion therapy 1010,positive
excellent performance,positive
still good actors around,positive
also great directing photography,positive
true shakespear must shakespear fans,positive
macbeth jason connery moved tears final monolog brief candle outhe gave sphere moral decay dark forces human face makes interesting,positive
helen baxendale credible lady macbeth cheerfull times sometimes looks like naughty girl deadly taste blood evil,positive
love death decay shakespears lyrics one,positive
witty delightful adaptation dr seuss book brilliantly animated upas finest thoroughly deserving academy award,positive
special mention made superb music score sound effects integral element helping make memorable enjoyable cartoon,positive
however paul schrader indeed made film mishima superb complex,positive
also notable john baileys fine crisp beautifully colored cinematography great production design costumes eiko ishioka went memorable costumes coppolas dracula received well deserved oscar,positive
even allowing poor production values time 1971 format kind miniseries baaaaaad,negative
unless youre visually collect extant films austens work skip one,negative
watch however small consolations actresses playing annes sisters wonderful job roles,positive
good,negative
speaking music unbearably predictably kitchy,negative
film dropped ball,negative
stunning movie,positive
raw sublimely moving,positive
felt like gripping intelligent stage play without overly theatrical feeling one actually gets watching people stage plays everyones terror white lie escalating monstrous consequences,positive
main players mesmerising,positive
tom wilkinson broke heart end everyone elses judging amount fumbling hankies hands going faces among males females alike,positive
julian fellowes triumphed,positive
hes national treasure,positive
go see,positive
excellent film,positive
aerial scenes welldone,positive
also right balance war love,positive
film gives meaning phrase never history human conflict much owed many,positive
kris kristoffersen good movie really makes difference,positive
good film great director,positive
definitely one better documentaries seen looking family relationships marriage,positive
many continuity errors one user commented different cars garage joes glassesthe one got fact joes facial hair configuration seemed change scene scene,negative
great movie,positive
10 10 stars,positive
cant see movie inspiration anyone come overcome fear rejection,negative
bad actually worth seeing reason,negative
punishment park brilliant piece cinema,positive
shot southern california desert using patent faux documentary style watkins creates film like,positive
one peter watkins accessible films,positive
advise look,positive
wont regret,positive
highly recommended,positive
well keep thinking bad,negative
mediocre miserable hollow laughable predictable piece garbage,negative
case bad laughable,negative
bad performance plays angela bennett computer expert home time,negative
film nothing pretext show ridiculous action scenes,negative
awful,negative
still bad actress repeating robotic face moves pictures,negative
results well shame,negative
delete film mind,negative
